cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,subst x culinario,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
67,1,67,,ADOÇANTE OUTRA MARCA SUCRALOSE PO 500G x- REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,500.0,500.0,101 ACIMA,REGULAR,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 500 G N PRMC OUTRA MARCA
68,1,68,,ADOÇANTE OUTRA MARCA SUCRALOSE LIQUIDO 100ML x- LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,PROMOCAO,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML PRMC OUTRA MARCA
69,1,69,,ADOÇANTE OUTRA MARCA SUCRALOSE LIQUIDO 100ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML N PRMC OUTRA MARCA
70,1,70,,ADOÇANTE OUTRA MARCA SUCRALOSE LIQUIDO 200ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 200 ML N PRMC OUTRA MARCA
71,1,71,,ADOÇANTE OUTRA MARCA SUCRALOSE LIQUIDO 75ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,75.0,75.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 75 ML N PRMC OUTRA MARCA
72,1,72,,ADOÇANTE OUTRA MARCA SUCRALOSE LIQUIDO 80ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 80 ML N PRMC OUTRA MARCA
88,1,88,,ADOÇANTE OUTRA MARCA SACARINA PO -G x- REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,125.0,101 ACIMA,REGULAR,0.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 125 G N PRMC OUTRA MARCA
89,1,89,,ADOÇANTE OUTRA MARCA SACARINA PO 250G x- REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,250.0,250.0,101 ACIMA,REGULAR,0.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 250 G N PRMC OUTRA MARCA
90,1,90,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 90ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,90.0,90.0,81 A 100,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 90 ML N PRMC OUTRA MARCA
91,1,91,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 100ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 100 ML N PRMC OUTRA MARCA
92,1,92,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 100ML x- LMPM,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,PROMOCAO,0.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 100 ML PRMC OUTRA MARCA
93,1,93,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 110ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,110.0,110.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 110 ML N PRMC OUTRA MARCA
94,1,94,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 185ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,185.0,185.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 185 ML N PRMC OUTRA MARCA
95,1,95,,ADOÇANTE OUTRA MARCA SACARINA LIQUIDO 200ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 200 ML N PRMC OUTRA MARCA
96,1,96,,ADOÇANTE OUTRA MARCA ASPARTAME PO -G x- REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,40.0,ATE 80,REGULAR,0.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 40 G N PRMC OUTRA MARCA
97,1,97,,ADOÇANTE OUTRA MARCA ASPARTAME PO -G x1000 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,1000.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 1000 ENV N PRMC OUTRA MARCA
98,1,98,,ADOÇANTE OUTRA MARCA ASPARTAME PO -G x50 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 50 ENV N PRMC OUTRA MARCA
99,1,99,,"ADOÇANTE OUTRAS MARCAS STEVIA PO 0,6G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.6,30.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC FIT
100,1,100,,ADOÇANTE OUTRAS MARCAS STEVIA PO 400G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,400.0,400.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 400 G N PRMC FIT
101,1,101,,ADOÇANTE FIT STEVIA LIQUIDO 65ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,STEVIAFARMA,OUTRO FAB,FIT,OUTRAS MARCAS,OUTRAS MARCAS,FIT,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 65 ML N PRMC FIT
102,1,102,,ADOÇANTE FIT SUCRALOSE LIQUIDO 65ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,STEVIAFARMA,OUTRO FAB,FIT,OUTRAS MARCAS,OUTRAS MARCAS,FIT,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 65 ML N PRMC FIT
103,2,103,,AÇUCAR FIT LIDER AÇUCAR FIT AÇUCAR FIT 500G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,OUTRO FAB,OUTRO FAB,LIDER,OUTRAS MARCAS,OUTRAS MARCAS,LIDER,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,STV (SCRN/CCL/SCR/ST P 500 G N PRMC LIDER
104,1,104,,ADOÇANTE LIDER SUCRALOSE LIQUIDO 80ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,LIDER,OUTRAS MARCAS,OUTRAS MARCAS,LIDER,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 80 ML N PRMC LIDER
105,2,105,,AÇUCAR FIT LIDER AÇUCAR FIT AÇUCAR FIT 500G x1 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,OUTRO FAB,OUTRO FAB,LIDER,OUTRAS MARCAS,OUTRAS MARCAS,LIDER,AÇUCAR FIT,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,AÇUCAR FIT,,,,,,SCRN (CCL/SC) P 500 G N PRMC LIDER
111,1,111,,ADOÇANTE ASSUGRIN SACARINA LIQUIDO 110ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,110.0,110.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 110 G N PRMC ASSUGRIN
112,1,112,,"ADOÇANTE ASSUGRIN SACARINA PO 0,8G x50 REGULAR",GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 50 ENV N PRMC ASSUGRIN
114,1,114,,ADOÇANTE ADOCYL SUCRALOSE LIQUIDO 160ML x- LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,ADOCYL,ADOCYL,ADOCYL,ADOCYL,LIQUIDO,,ML,160.0,160.0,101 ACIMA,PROMOCAO,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 160 ML PRMC ADOCYL
115,1,115,,"ADOÇANTE FINN SUCRALOSE PO 0,8G x100 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.8,80.0,ATE 80,REGULAR,100.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 100 ENV N PRMC FINN
116,1,116,,ADOÇANTE ADOCYL ASPARTAME PO -G x- REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ADOCYL,ADOCYL,ADOCYL,ADOCYL,SACHE,,G,0.0,40.0,ATE 80,REGULAR,0.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 40 G N PRMC ADOCYL
117,1,117,,ADOÇANTE ASSUGRIN SACARINA LIQUIDO 100ML x- LMPM,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,100.0,100.0,81 A 100,PROMOCAO,0.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 100 ML PRMC ASSUGRIN
118,1,118,,ADOÇANTE ASSUGRIN SACARINA LIQUIDO 200ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 200 ML N PRMC ASSUGRIN
120,1,120,,ADOÇANTE ASSUGRIN STEVIA LIQUIDO 80ML x3 LMPM,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,80.0,240.0,101 ACIMA,PROMOCAO,3.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML PRMC ASSUGRIN
121,1,121,,ADOÇANTE ASSUGRIN STEVIA LIQUIDO 80ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML N PRMC ASSUGRIN
122,1,122,,"ADOÇANTE ASSUGRIN STEVIA PO 0,8G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 40 ENV N PRMC ASSUGRIN
123,1,123,,"ADOÇANTE ASSUGRIN STEVIA PO 0,5G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,SACHE,,G,0.5,25.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC ASSUGRIN
124,1,124,,ADOÇANTE ASSUGRIN SUCRALOSE LIQUIDO 100ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML N PRMC ASSUGRIN
125,1,125,,"ADOÇANTE ASSUGRIN ASPARTAME PO 0,5G x1000 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,SACHE,,G,0.5,500.0,101 ACIMA,REGULAR,1000.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 1000 ENV N PRMC ASSUGRIN
126,1,126,,"ADOÇANTE ASSUGRIN ASPARTAME PO 0,8G x50 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 50 ENV N PRMC ASSUGRIN
127,1,127,,ADOÇANTE DOCE MENOR STEVIA LIQUIDO 65ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 65 ML N PRMC DOCE MENOR
129,1,129,,"ADOÇANTE DOCE MENOR STEVIA PO 0,8G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC DOCE MENOR
130,1,130,,ADOÇANTE DOCE MENOR SUCRALOSE LIQUIDO 100ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 100 ML N PRMC DOCE MENOR
131,1,131,,ADOÇANTE DOCE MENOR SACARINA LIQUIDO 100ML x4 LMPM,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,100.0,400.0,101 ACIMA,PROMOCAO,4.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 100 ML PRMC DOCE MENOR
132,1,132,,ADOÇANTE DOCE MENOR SACARINA LIQUIDO 75ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,75.0,75.0,ATE 80,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 75 ML N PRMC DOCE MENOR
133,1,133,,"ADOÇANTE DOCE MENOR SACARINA PO 0,8G x50 REGULAR",GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,SACARINA,,,,,,SCRN (CCL/SC) P 50 ENV N PRMC DOCE MENOR
134,1,134,,ADOÇANTE FINN SUCRALOSE LIQUIDO 25ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 25 ML N PRMC FINN
136,1,136,,ADOÇANTE FINN ASPARTAME LIQUIDO 65ML x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) LQD 65 ML N PRMC FINN
137,1,137,,ADOÇANTE FINN ASPARTAME LIQUIDO 75ML x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,LIQUIDO,,ML,75.0,75.0,ATE 80,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) LQD 75 ML N PRMC FINN
138,1,138,,ADOÇANTE FINN ASPARTAME PO 150G x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 150 G N PRMC FINN
139,1,139,,"ADOÇANTE FINN ASPARTAME PO 0,8G x100 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.8,80.0,ATE 80,REGULAR,100.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 100 ENV N PRMC FINN
140,1,140,,"ADOÇANTE FINN ASPARTAME PO 0,8G x50 LMPM",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.8,40.0,ATE 80,PROMOCAO,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 50 ENV PRMC FINN
141,1,141,,"ADOÇANTE FINN ASPARTAME PO 0,8G x50 LMPM",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.8,40.0,ATE 80,PROMOCAO,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 60 ENV PRMC FINN
142,1,142,,ADOÇANTE GOLD PREMIUM SWEET ASPARTAME LIQUIDO 65ML x3 LMPM,GERENCIADO,ASPARTAME,ARTIFICIAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,65.0,195.0,101 ACIMA,PROMOCAO,3.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) LQD 65 ML PRMC GOLD
143,1,143,,ADOÇANTE GOLD PREMIUM SWEET ASPARTAME LIQUIDO 80ML x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) LQD 80 ML N PRMC GOLD
144,1,144,,"ADOÇANTE GOLD PREMIUM SWEET ASPARTAME PO 0,8G x1000 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.8,800.0,101 ACIMA,REGULAR,1000.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 1000 G N PRMC GOLD
146,1,146,,"ADOÇANTE GOLD PREMIUM SWEET ASPARTAME PO 0,8G x50 LMPM",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.8,40.0,ATE 80,PROMOCAO,50.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 50 ENV PRMC GOLD
147,1,147,,ADOÇANTE GOLD ASPARTAME PO -G x70 LMPM,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.0,0.0,ATE 80,PROMOCAO,70.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 70 ENV PRMC GOLD
148,1,148,,"ADOÇANTE GOLD PREMIUM SWEET SUCRALOSE PO 0,6G x50 LMPM",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.6,30.0,ATE 80,PROMOCAO,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV PRMC GOLD
149,1,149,,ADOÇANTE GOLD SUCRALOSE PO -G x70 LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.0,0.0,ATE 80,PROMOCAO,70.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 70 ENV PRMC GOLD
150,1,150,,ADOÇANTE GOLD PREMIUM SWEET SUCRALOSE LIQUIDO 800ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,800.0,800.0,101 ACIMA,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 800 ML N PRMC GOLD
151,1,151,,ADOÇANTE GOLD PREMIUM SWEET SUCRALOSE LIQUIDO 25ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 25 ML N PRMC GOLD
152,1,152,,ADOÇANTE GOLD PREMIUM SWEET SUCRALOSE LIQUIDO 65ML x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 65 ML N PRMC GOLD
