cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
3253581726396,3,3253581726396,,L OCCITANE AU BRES SERUM DESODORANTE CORPORAL NINFA DAS AGUAS ENCANTO 200 ML x 1,gerenciado,body care massivo,LIMPEZA PELE,LIMPEZA OUTROS,SERUM,LOCCITANE DO BRASIL S/A,DEMAIS FAB,LOCCITANE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3253581726402,3,3253581726402,,L OCCITANE AU BRES SERUM DE MAOS NINFA DAS AGUAS ENCANTO 30 ML x 1,gerenciado,body care massivo,HIDRATACAO,HIDRATACAO CORPO,SERUM,LOCCITANE DO BRASIL S/A,DEMAIS FAB,LOCCITANE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3253581750933,3,3253581750933,,L OCCITANE AU BRES LOCAO HIDRATANTE CORPORAL CAPIM LIMAO 250 ML x 1,gerenciado,body care massivo,HIDRATACAO,HIDRATACAO CORPO,LOCAO,LOCCITANE DO BRASIL S/A,DEMAIS FAB,LOCCITANE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,250.0,250.0,201 ACIMA,REGULAR,1,REGULAR,ITENS IQVIA,201 ACIMA,,,,,,
3253581751640,3,3253581751640,,L OCCITANE AU BRES KIT AGUA DE COCO CREME HIDRAT CORP 50ML+SABONETE 50G+SABONETE LIQ 50ML+NECES x 1,gerenciado,body care massivo,LIMPEZA PELE,LIMPEZA OUTROS,CREME,LOCCITANE DO BRASIL S/A,DEMAIS FAB,LOCCITANE,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,50.0,150.0,101 A 200,PROMO,3,KIT,ITENS IQVIA,101 A 200,,,,,,
3264680002441,3,3264680002441,,NUXE CREME REDENSIFICANTE NOITE NUXURIANCE 50 ML x 1,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680002458,3,3264680002458,,NUXE SERUM REDENSIFIANT ANTI-AGE NUXURIANCE 30 ML x 1,GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIMANCHAS,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680003905,3,3264680003905,,NUXE CREME ANTI-AGE OLHOS NUXURIANCE 15 ML x 1,GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIMANCHAS,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,15.0,15.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680004087,3,3264680004087,,NUXE BALSAMO PROTETOR PARA OS LABIOS ULTRA-NUTRITIVO REVE DE MIEL 15 G x 1,GERENCIADO,FACE CARE DERMO,PROTETOR LABIAL,REPARADOR DE PELE,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,15.0,15.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680005114,3,3264680005114,,NUXE LOCAO DEMAQUILANTE MICELLAR CLEANSING WATER 200 ML x 1,GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,IQVIA SKU,101 A 200,,,,,,
3264680005138,3,3264680005138,,NUXE LEITE DEMAQUILANTE COMFORTING CLEANS 200 ML x 1,GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LIQUIDO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,IQVIA SKU,101 A 200,,,,,,
3264680005145,3,3264680005145,,NUXE LOCAO TONIQUE DOUCE FACIAL 200 ML x 1,GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,IQVIA SKU,101 A 200,,,,,,
3264680005152,3,3264680005152,,NUXE ESPUMA MICELAR ROSE PETALS 150 ML x 1,GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,MICELAR,LIQUIDO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,150.0,150.0,101 A 200,REGULAR,1,REGULAR,IQVIA SKU,101 A 200,,,,,,
3264680005183,3,3264680005183,,NUXE GEL ESFOLIANTE CORPORAL 75 ML x 1,GERENCIADO,BODY CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,75.0,75.0,51 A 80,REGULAR,1,REGULAR,ITENS IQVIA,51 A 80,,,,,,
3264680005381,3,3264680005381,,NUXE FLUIDO NUXELLENCE JEUNESSE REJUVENESCEDOR FACIAL DIA 50 ML x 1,GERENCIADO,FACE CARE MASSIVO,ANTI IDADE,ANTIRRUGAS,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680007606,3,3264680007606,,NUXE FLUIDO NUXELLENCE JEUNESSE DETOX REJUVENESCEDOR FACIAL NOITE 50 ML x 1,GERENCIADO,FACE CARE MASSIVO,ANTI IDADE,ANTIRRUGAS,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680008313,3,3264680008313,,NUXE OLEO DE LIMPEZA HIDRATANTE CORPORAL PARIS PRODIGIEUSE 200 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3264680009297,3,3264680009297,,NUXE ROLLON MASCARA FACIAL NUXURIANCE ULTRA 50 ML x 1,GERENCIADO,FACE CARE DERMO,MASCARA,GEL,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680009488,3,3264680009488,,NUXE LEITE HIDRATANTE CORPORAL PARIS PRODIGIEUSE 200 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,LIQUIDO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3264680009754,3,3264680009754,,NUXE OLEO PRODIGIEUSE 100 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS IQVIA,81 A 100,,,,,,
3264680009761,3,3264680009761,,NUXE OLEO PRODIGIEUSE 50 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3264680009778,3,3264680009778,,NUXE OLEO PRODIGIEUSE BRILHO DOURADO 100 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS IQVIA,81 A 100,,,,,,
3264680009785,3,3264680009785,,NUXE OLEO HIDRATANTE CORPORAL PRODIGIEUSE OR DRY GOLDEN 50 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3264680010446,3,3264680010446,,NUXE CREME HIDRATANTE MAOS E UNHAS REVE DE MIEL 50 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS ABRAFARMA,ATE 50,,,,,,
3264680010811,3,3264680010811,,NUXE CREME HIDRATANTE CORPORAL REVE MIEL 200 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3264680010941,3,3264680010941,,NUXE CREME ESFOLIANTE REVE DE MIEL 175 ML x 1,GERENCIADO,BODY CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,CREME,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,175.0,175.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3264680011139,3,3264680011139,,NUXE OLEO CORPORAL HUILE PRODIGIEUSE EDICAO LIMITADA 100 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS IQVIA,81 A 100,,,,,,
3264680012273,3,3264680012273,,NUXE SERUM HIDRATANTE BEAUTE FACIAL 30 ML x 1,GERENCIADO,FACE CARE DERMO,HIDRATACAO,HIDRATACAO ROSTO,SERUM,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680012280,3,3264680012280,,NUXE CREME FLUIDO HIDRATANTE FRAICHE 50 ML x 1,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680012303,3,3264680012303,,NUXE CREME HIDRATANTE FRAICHE 30 ML x 1,GERENCIADO,FACE CARE DERMO,HIDRATACAO,HIDRATACAO ROSTO,CREME,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680012334,3,3264680012334,,NUXE MASCARA HIDRATANTE CALMANTE BEAUTE FACIAL 50 ML x 1,GERENCIADO,FACE CARE DERMO,MASCARA,CREME,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680014666,3,3264680014666,,NUXE OLEO CORPORAL HUILE PRODIGIEUSE 10 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,10.0,10.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3264680014680,3,3264680014680,,NUXE OLEO CORPORAL HUILE PRODIGIEUSE OR 10 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,10.0,10.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3264680014857,3,3264680014857,,NUXE GEL ESFOLIANTE FACIAL AQUABELLA 150 ML x 1,GERENCIADO,BODY CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,150.0,150.0,101 A 200,REGULAR,1,REGULAR,ITENS IQVIA,101 A 200,,,,,,
3264680014871,3,3264680014871,,NUXE LOCAO FACIAL AQUABELLA 200 ML x 1,GERENCIADO,FACE CARE DERMO,HIDRATACAO,HIDRATACAO ROSTO,LOCAO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,IQVIA SKU,101 A 200,,,,,,
3264680014888,3,3264680014888,,NUXE EMULSAO FACIAL AQUABELLA 50 ML x 1,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,-,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,IQVIA SKU,ATE 50,,,,,,
3264680015946,3,3264680015946,,NUXE OLEO MULTI-FUNCIONAL FLORAL 100 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS IQVIA,81 A 100,,,,,,
3264680016080,3,3264680016080,,NUXE OLEO CORPORAL HUILE PRODIGIEUSE EDICAO LIMITADA 30 ML x 1,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,OLEO,NUXE,DEMAIS FAB,NUXE,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS IQVIA,ATE 50,,,,,,
3282770019919,3,3282770019919,,AVENE CLEANANCE SAB 100G (43931),GERENCIADO,FACE CARE DERMO,ACNE,ACNE SABONETE,BARRA,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
3282770025958,3,3282770025958,,AVENE LOCAO MICELAR 100ML (47699),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,MICELAR,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
3282770027037,3,3282770027037,,AVENE AGUA TERMAL 50ML (36758),GERENCIADO,FACE CARE DERMO,HIDRATACAO,HIDRATACAO ROSTO,LIQUIDO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,SPRAY,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770037005,3,3282770037005,,AVENE YSTHEAL INTENSE 30ML (50722),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,CREME,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770037067,3,3282770037067,,AVENE CLEANANCE LOCAO MAT 200ML (36719),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,VAREJISTA,101 A 200,,,,,,
3282770037159,3,3282770037159,,AVENE CLEANANCE MASK 50ML (46065),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,-,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770037319,3,3282770037319,,AVENE CLEANANCE AGUA LIMPEZA 400ML (43928),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,400.0,400.0,201 ACIMA,REGULAR,1,REGULAR,VAREJISTA,201 ACIMA,,,,,,
3282770037340,3,3282770037340,,AVENE CLEANANCE HYDRA CR 40ML (48291),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,CREME,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,40.0,40.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770037357,3,3282770037357,,AVENE LOCAO MICELAR 200ML (43919),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,MICELAR,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,VAREJISTA,101 A 200,,,,,,
3282770037678,3,3282770037678,,AVENE CLENANCE EXPERT 40ML (47684),GERENCIADO,FACE CARE DERMO,ACNE,ACNE TRATAMENTO,CREME,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,40.0,40.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770038033,3,3282770038033,,AVENE SERENAGE OLHOS 15ML (48289),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,SERUM,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,15.0,15.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770038149,3,3282770038149,,AVENE XERACALM AD OLEO LIMPEZA100ML (46062),NAO GERENCIADO,BODY CARE DERMATO,LIMPEZA PELE,LIMPEZA OUTROS,OLEO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
3282770038170,3,3282770038170,,AVENE TRIACNEAL EXPERT 30ML (49738),GERENCIADO,FACE CARE DERMO,ACNE,ACNE TRATAMENTO,MOUSSE,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770038538,3,3282770038538,,ANACAPS CAPS/30 L3P2,NAO GERENCIADO,BODY CARE DERMATO,OUTROS,OUTROS,-,LABORATORIOS PIERRE FABRE DO BRASIL LTDA,DEMAIS FAB,DUCRAY,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,G,500.0,500.0,201 ACIMA,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,201 ACIMA,,,,,,
3282770038767,3,3282770038767,,AVENE PROT SOL CLEANANCE FPS50 50ML (48546),NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,CREME,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,ATE 50,,,,,,
3282770049336,3,3282770049336,,AVENE PHYSIOLIFT EMULSAO DIA 30ML (47701),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,MOUSSE,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770049350,3,3282770049350,,AVENE PHYSIOLIFT NOITE 30ML (47702),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,SERUM,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770049381,3,3282770049381,,AVENE PHYSIOLIFT OLHOS 15ML (47700),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,CREME,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,15.0,15.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770049435,3,3282770049435,,AVENE HYDRANCE PERFECTOR FPS30 40ML (48288),GERENCIADO,FACE CARE DERMO,ACNE,ACNE TRATAMENTO,-,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,40.0,40.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770072365,3,3282770072365,,AVENE PHYSIOLIFT PRECISION 15ML (50724),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,MOUSSE,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,15.0,15.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770074727,3,3282770074727,,AVENE TRIXERA NUTRITION LOCAO 400ML (51565),NAO GERENCIADO,BODY CARE DERMATO,HIDRATACAO,HIDRATACAO CORPO,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,400.0,400.0,201 ACIMA,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,201 ACIMA,,,,,,
3282770074734,3,3282770074734,,AVENE TRIXERA NUTRITION LOCAO 200ML (49736),NAO GERENCIADO,BODY CARE DERMATO,HIDRATACAO,HIDRATACAO CORPO,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,101 A 200,,,,,,
3282770074758,3,3282770074758,,AVENE TRIXERA NUTRITION BALSAMO 200ML,NAO GERENCIADO,BODY CARE DERMATO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS PROFARMA,101 A 200,,,,,,
3282770075724,3,3282770075724,,AVENE FLUIDO MIN COR FPS50+40ML (52431),NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,LIQUIDO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,T. EMBALAGEM,ML,40.0,40.0,ATE 50,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,ATE 50,,,,,,
3282770085730,3,3282770085730,,AVENE TRIXERA NUTRITION SAB 80G (50729),NAO GERENCIADO,BODY CARE DERMATO,LIMPEZA PELE,LIMPEZA OUTROS,BARRA,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,G,80.0,80.0,51 A 80,REGULAR,1,REGULAR,VAREJISTA,51 A 80,,,,,,
3282770100228,3,3282770100228,,AVENE COMPACTO SABLE FPS50 PO 10G (36763),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,-,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,G,10.0,10.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770100242,3,3282770100242,,AVENE COMPACTO DORE FPS50 PO 10G (36762),NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,PO,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,T. EMBALAGEM,G,10.0,10.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
3282770100976,3,3282770100976,,AVENE CLEANANCE SAB 80G (48417),GERENCIADO,FACE CARE DERMO,ACNE,ACNE SABONETE,BARRA,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,G,80.0,80.0,51 A 80,REGULAR,1,REGULAR,VAREJISTA,51 A 80,,,,,,
3282770101027,3,3282770101027,,AVENE CLEANANCE GEL 300ML (50727),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,300.0,300.0,201 ACIMA,REGULAR,1,REGULAR,VAREJISTA,201 ACIMA,,,,,,
3282770101034,3,3282770101034,,AVENE CLEANANCE GEL LIMP 60ML (47703),GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,PIERRE FABRE,DEMAIS FAB,AVENE,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,60.0,60.0,51 A 80,REGULAR,1,REGULAR,VAREJISTA,51 A 80,,,,,,
3282770101089,3,3282770101089,,AVENE MAT PERFECT FPS60 COR 50ML (52434),NAO GERENCIADO,BODY CARE DERMATO,HIDRATACAO,HIDRATACAO CORPO,LOCAO,STIEFEL,DEMAIS FAB,FISIOGEL,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,60.0,60.0,51 A 80,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,51 A 80,,,,,,
